parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
6月6日10_00_6月6日21_00,2024-06-06 10:00:16,2024-06-06 10:09:16,570,False,False,False
6月6日10_00_6月6日21_00,2024-06-06 10:16:16,2024-06-06 11:05:16,2970,False,True,False
6月6日10_00_6月6日21_00,2024-06-06 13:07:47,2024-06-06 15:42:47,9330,True,True,True
6月6日10_00_6月6日21_00,2024-06-06 17:30:47,2024-06-06 17:38:17,480,True,False,False
6月6日10_00_6月6日21_00,2024-06-06 17:44:17,2024-06-06 19:14:17,5430,False,False,False
6月6日10_00_6月6日21_00,2024-06-06 19:22:47,2024-06-06 20:01:47,2370,False,False,False
6月6日10_00_6月6日21_00,2024-06-06 20:08:47,2024-06-06 20:40:17,1920,False,False,False
6月6日10_00_6月6日21_00,2024-06-06 20:47:47,2024-06-06 20:53:47,390,False,False,False
6月7日00_00_6月7日24_00,2024-06-07 00:00:18,2024-06-07 01:52:48,6780,False,False,False
6月7日00_00_6月7日24_00,2024-06-07 01:59:48,2024-06-07 08:59:18,25200,False,False,False
6月7日00_00_6月7日24_00,2024-06-07 09:05:18,2024-06-07 09:16:18,690,False,True,False
6月7日00_00_6月7日24_00,2024-06-07 11:13:18,2024-06-07 11:34:48,1320,True,False,False
6月7日00_00_6月7日24_00,2024-06-07 11:41:18,2024-06-07 15:13:49,12781,False,False,False
6月7日00_00_6月7日24_00,2024-06-07 15:20:49,2024-06-07 15:27:49,450,False,False,False
6月7日00_00_6月7日24_00,2024-06-07 15:34:19,2024-06-07 23:59:50,30361,False,False,False
6月11日08_00_6月11日11_00,2024-06-11 08:00:00,2024-06-11 08:11:30,720,False,False,False
6月11日08_00_6月11日11_00,2024-06-11 08:18:30,2024-06-11 08:21:00,180,False,True,False
6月11日08_00_6月11日11_00,2024-06-11 08:38:30,2024-06-11 08:40:00,120,True,True,True
6月11日08_00_6月11日11_00,2024-06-11 09:41:31,2024-06-11 09:45:31,270,True,True,True
6月11日08_00_6月11日11_00,2024-06-11 10:35:01,2024-06-11 10:39:31,300,True,False,False
6月11日08_00_6月11日11_00,2024-06-11 10:46:31,2024-06-11 10:59:31,810,False,False,False
